0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
-0.27557832,0.3963221,1.5295495,0.94938874,1.8091831,-0.98371446,-0.59715617,-1.9196616,0.9951563,-1.2960317,0.6762758,-0.42555398,0.5331875,-1.5265884,-1.1758446,0.75848466,-1.7030072,0.1198187,1.3657242,0.054962132,-1.2756361,0.6067224,-0.7792254,1.6526213,-1.7016779,2.2036269,0.035850212,1.3065569,2.0438344,0.117111,0.66988117,1.3780851
0.32140863,-0.59497315,1.1310216,-0.09073509,0.22972749,0.92194545,0.9298477,1.1855414,0.5061116,-0.6430143,0.4442609,1.1653092,-0.39375186,2.746988,-0.06234682,1.2365065,-0.30208808,0.5294443,-1.2417724,0.69178975,-1.4875879,0.58194184,1.2085749,1.6585933,1.0374312,0.7582981,1.4791903,0.80066615,1.5963873,-0.027965773,-0.28534132,0.11667944
0.5361221,1.3332384,0.7815972,-1.8276604,0.57409555,2.392797,0.49202523,-1.2773391,0.48858076,-0.18805185,-0.3465416,0.1339586,0.36453792,1.3474584,-0.1605753,-0.03623964,-0.48347527,0.6188013,-0.1178173,-0.93902755,-0.7718088,-0.2602043,-0.78187966,-0.525238,-0.8604007,-0.05731752,-0.18671001,-0.093089625,-0.02832066,0.74249536,0.2211567,-0.41598934
1.1404065,0.4677711,0.8311721,-2.1664648,1.7446588,0.4733105,0.6496382,0.7524499,0.366331,0.5171075,-0.89925677,-0.8964723,1.5181292,-0.9980619,0.17382187,-0.2873786,0.25040716,-1.0095173,0.13366878,-0.2899026,-0.8720625,0.22687334,-0.23187399,0.70618117,0.7159663,0.17087053,0.32493773,-0.18455267,0.54619956,-0.37649494,1.5208895,-0.5689265
0.97144735,-0.21860307,0.14590678,-1.0279253,-0.8817304,0.21321507,-0.66083664,-0.36139303,1.7885934,-0.034011602,0.04194208,-0.90897286,-0.99931145,1.5003861,0.41536766,-0.24453245,0.47803742,0.24584359,-0.074232176,0.5445065,-0.87517035,-1.2949016,-2.5423276,2.0705075,-0.9898443,-0.7160656,0.29149014,-1.5591282,-0.42717326,-1.1668178,-0.4597565,-0.31285062
-0.8318313,-0.24571651,0.97137535,1.0022781,1.0653955,0.45097086,0.03317731,1.24187,-0.653718,1.1725161,1.9380778,-0.41574553,-0.7322367,-0.4199043,-0.2221538,0.5542307,1.0270635,-2.8678806,0.9336007,0.56409883,-0.0010746014,0.943701,1.2235651,0.2933616,0.6181208,-0.12084326,-0.041978993,0.70256156,0.057881597,-1.3300987,0.12788896,0.519763
-0.20548095,1.6676008,1.249356,-0.52407134,0.4563273,0.24132073,0.48963806,0.4476834,0.16400518,-0.5698314,1.0175261,-0.605879,1.510835,-0.765714,-1.6763641,0.28127006,-1.2459729,-0.13684455,0.4467211,-0.7397734,-0.86666656,0.5816968,0.30336526,-0.75894296,-0.9290646,0.8162425,-0.39656916,-0.94627464,-0.91601235,-0.142418,0.78183806,-1.4732004
0.010606056,0.104390204,-0.030327147,1.0464071,-0.43857613,0.03639281,-0.26898333,-1.6905259,0.7149513,-0.7170675,-0.43129334,0.27938077,-0.39057267,-1.4691393,1.3257384,0.55657643,0.12109196,-1.108261,-1.3461959,0.06485949,-0.6771345,0.88167924,0.3258517,1.0410837,-0.13516572,-2.0779757,-0.53510195,-0.99238366,0.14977221,-0.098826945,-0.40883482,-1.1489811
0.6531395,1.0472223,-1.3204572,-0.6894577,-0.3074198,0.6788341,-1.7711567,0.34080294,-0.17616603,-0.44548884,-0.6597357,0.34439012,-0.23475842,-0.03326881,1.1122788,-0.14108448,1.4247204,0.9033207,0.43954745,-0.8610849,0.6542094,-0.845483,0.22013324,0.4515652,-0.016826028,-0.24216416,-0.101789944,1.4483851,0.57173616,-1.1460313,-1.6936342,0.588687
-0.85400486,1.9977124,0.8745425,1.5264009,-0.544644,0.13561796,1.905328,-1.1415641,1.0627432,0.1222097,1.1605722,-0.53324294,-0.14302996,0.6863692,-0.6311891,-0.27539676,-1.4615227,1.6798178,0.86850834,-0.87398916,0.05801701,-0.94422007,0.3248392,-1.069627,0.7490495,0.9121097,0.51716363,-0.71923405,-1.1763783,-0.7148105,-0.83543205,1.3958037
